motif_id,n_biomes_assigned,z_true,z_threshold_95,keep_in_filtered
b6a,2,0.7045256065165763,2.828476905822754,True
b72a,3,2.6807367006830742,2.828476905822754,True
b56,2,0.4862142560012174,2.828476905822754,True
c22,2,1.198585322543946,2.828476905822754,True
b87c,1,-0.659000377627309,2.828476905822754,True
b64d,2,1.6794246225570029,2.828476905822754,True
b75d,3,0.6243936926241659,2.828476905822754,True
b64a,3,0.09008689421236009,2.828476905822754,True
b87b,2,-0.022846521260368333,2.828476905822754,True
b74a,2,-1.7200057819799321,2.828476905822754,True
c30b,2,-0.2325411242773099,2.828476905822754,True
b5c,3,1.009035889208948,2.828476905822754,True
c17,2,0.7248578350025289,2.828476905822754,True
b7d,1,0.16271369057805585,2.828476905822754,True
c34a,1,1.4828155271406736,2.828476905822754,True
c2b,2,0.5464540451749936,2.828476905822754,True
c35a,3,1.244143273912374,2.828476905822754,True
b96,2,1.8993403058099227,2.828476905822754,True
b93a,3,1.4713703595096814,2.828476905822754,True
c15,1,1.0168536316850245,2.828476905822754,True
c33b,2,0.3448971813843373,2.828476905822754,True
c40,1,-0.3364742086458221,2.828476905822754,True
d13e,2,0.6054935428242929,2.828476905822754,True
c41,1,-0.36804042007550275,2.828476905822754,True
b99,2,1.3325983271295434,2.828476905822754,True
c37,2,2.4288441252040753,2.828476905822754,True
d1a2,2,1.4472023878927496,2.828476905822754,True
c30c,3,0.8692083721920157,2.828476905822754,True
d12a,2,4.434291461911732,2.828476905822754,False
c19a,3,-2.443254645441038,2.828476905822754,True
c33,3,-0.5238097887921424,2.828476905822754,True
d4i,2,0.4272094787577203,2.828476905822754,True
d4k,3,1.217218831649248,2.828476905822754,True
d1a1,1,0.38583456936467386,2.828476905822754,True
d1a3,3,2.3791421883332964,2.828476905822754,True
c2a,2,1.4634327676596197,2.828476905822754,True
d1a,2,-0.8444121982692123,2.828476905822754,True
d4f,3,1.041106075812717,2.828476905822754,True
d13c,3,2.188482398001127,2.828476905822754,True
d4p,3,1.541424709881742,2.828476905822754,True
e19,2,1.223041969157363,2.828476905822754,True
d6b,2,0.7968302642546016,2.828476905822754,True
d4c1,2,-0.4436597878809421,2.828476905822754,True
c39,2,1.0232314637966204,2.828476905822754,True
c6h,3,1.7651612188596277,2.828476905822754,True
e24,3,1.385934821067237,2.828476905822754,True
c39a,1,-0.6034091888921723,2.828476905822754,True
e40,2,2.1870828164368836,2.828476905822754,True
e1b1,2,1.0108072395570062,2.828476905822754,True
e15b,2,-0.18157074758371286,2.828476905822754,True
c8c,2,0.22221251152505123,2.828476905822754,True
b48c,2,-0.546760663342885,2.828476905822754,True
c8a,3,-0.30437853003919624,2.828476905822754,True
e34,2,0.1826381487514054,2.828476905822754,True
e15a,3,-1.0359671626705262,2.828476905822754,True
d6a,3,1.2594594350303907,2.828476905822754,True
f12,3,1.1762449143065858,2.828476905822754,True
e28,1,1.8563940376414472,2.828476905822754,True
e31b,2,1.9653599734060427,2.828476905822754,True
e21,2,1.1908017901253232,2.828476905822754,True
e38c,2,2.4557179309871358,2.828476905822754,True
e18,1,0.914167438326812,2.828476905822754,True
e9aa,2,-1.537102869508855,2.828476905822754,True
e6a,2,-0.15816368858798063,2.828476905822754,True
f24,3,0.8298254341011705,2.828476905822754,True
e1a1,2,1.1096282444906007,2.828476905822754,True
f26,1,-1.0390236079028206,2.828476905822754,True
f49a,3,1.527272121276532,2.828476905822754,True
d4q,2,0.10783001825916859,2.828476905822754,True
f48,2,2.179967360680319,2.828476905822754,True
e13a,3,1.4715652947822775,2.828476905822754,True
e9g,3,1.466547559354358,2.828476905822754,True
f43b,2,2.009277311188362,2.828476905822754,True
e9j,2,1.4924620425127317,2.828476905822754,True
e8a,1,1.3294497041336697,2.828476905822754,True
f43c,2,1.5318621343837835,2.828476905822754,True
e9k,3,1.8615647521487149,2.828476905822754,True
f51a,3,0.6832139795878549,2.828476905822754,True
f54b,2,0.460044803005808,2.828476905822754,True
f51d,2,1.0419783916616359,2.828476905822754,True
f29a,2,1.034468780959929,2.828476905822754,True
f72,2,0.6544654471476996,2.828476905822754,True
f42a,3,1.1102844984089812,2.828476905822754,True
f54d,2,1.0143776761354868,2.828476905822754,True
f51c,2,1.535443312145117,2.828476905822754,True
f73a,1,0.9634896574592059,2.828476905822754,True
f13,3,1.5691524001893569,2.828476905822754,True
f85,3,0.9970264451044063,2.828476905822754,True
f68,3,-0.12433094588907409,2.828476905822754,True
f78,3,1.3594266979997174,2.828476905822754,True
f4,3,1.3065716521187891,2.828476905822754,True
f93,3,0.629166306173425,2.828476905822754,True
f82a,2,1.1580955174181207,2.828476905822754,True
f69,3,0.5951142785243794,2.828476905822754,True
f46a,2,1.663747292930372,2.828476905822754,True
g11,3,1.500916715388144,2.828476905822754,True
f5a,3,-0.29512322653897444,2.828476905822754,True
f37,2,0.9642416853192731,2.828476905822754,True
f9f2,2,1.9565200377916245,2.828476905822754,True
g12c,3,0.30554715805490873,2.828476905822754,True
f84,2,0.7815180464615049,2.828476905822754,True
f91,2,-0.7148492727312973,2.828476905822754,True
g19,1,-1.2412427607138166,2.828476905822754,True
f87,3,0.670304599481497,2.828476905822754,True
g14,3,0.9911934244940859,2.828476905822754,True
f81,2,-1.7406773149462174,2.828476905822754,True
g12,1,1.2004455981459967,2.828476905822754,True
g30,2,0.05430663893600745,2.828476905822754,True
f65d,3,1.7632094963385307,2.828476905822754,True
g13b,3,2.0832115966365095,2.828476905822754,True
g25,2,0.0399324972167033,2.828476905822754,True
h12b,3,2.59292608258805,2.828476905822754,True
g12a,3,1.7896390614727924,2.828476905822754,True
h1bb,3,1.8543601991494185,2.828476905822754,True
h12a,3,0.9773505749007941,2.828476905822754,True
f9b,2,0.7965290562754311,2.828476905822754,True
g8e,3,1.3874500367940699,2.828476905822754,True
h32b,3,0.6508805055983947,2.828476905822754,True
g31,3,0.27099280061492587,2.828476905822754,True
g28,3,1.4732643176245368,2.828476905822754,True
h36e,1,1.8721110449115923,2.828476905822754,True
h36h,3,1.1937603856733172,2.828476905822754,True
g10,2,0.851309756310234,2.828476905822754,True
h36i,3,1.4460359982132565,2.828476905822754,True
h17,2,0.4812013635973109,2.828476905822754,True
h24d,2,0.2998020433473585,2.828476905822754,True
h31,3,2.0993838378743392,2.828476905822754,True
h34c,3,2.778942735427058,2.828476905822754,True
i129,2,0.9102035246885587,2.828476905822754,True
i100d,2,-0.05202726550109012,2.828476905822754,True
i133a,2,0.7718844957433104,2.828476905822754,True
h38,2,1.1355296120338974,2.828476905822754,True
g8f,3,0.9302467606938463,2.828476905822754,True
h37b,3,-0.5387740827132059,2.828476905822754,True
h37a,2,-0.4412876962866012,2.828476905822754,True
i28a,2,0.7080964308396152,2.828476905822754,True
i37d,3,1.6437897720858232,2.828476905822754,True
i15a,3,0.4704531688818094,2.828476905822754,True
h9b,3,1.7399193361536966,2.828476905822754,True
i37e,2,1.5562414611773179,2.828476905822754,True
h7e,2,0.7550604413636198,2.828476905822754,True
h21a,2,0.6398806703106442,2.828476905822754,True
i132a,2,1.9022600564147574,2.828476905822754,True
h30,3,1.4159286719225215,2.828476905822754,True
g8c,2,0.9666013683413711,2.828476905822754,True
i55a,2,3.1992367066100402,2.828476905822754,False
i60a,3,-0.2824939352471656,2.828476905822754,True
i41a,2,2.4738520546445617,2.828476905822754,True
h24e,2,1.912584762126426,2.828476905822754,True
i59b3,2,1.3941578702751847,2.828476905822754,True
i5b,2,1.0736736188132343,2.828476905822754,True
h7f,3,1.090994219874129,2.828476905822754,True
