tradition_oid,group_Berezkin,lat,lon,biome_wwf,ecoregion,bbox_half_deg_used,total_available_in_final_bbox,n_sampled
733.0,Southern Luzon,14.0,120.69999694824219,Tropical & Subtropical Moist Broadleaf Forests,Luzon rain forests,0.5,33165,50
734.0,Southern Paiute,37.0,-114.0,Deserts & Xeric Shrublands,Mojave desert,0.5,39739,50
735.0,Southern Sel'kup,58.5,82.0,Boreal Forests/Taiga,West Siberian taiga,0.5,75,50
736.0,Southern Solomons,-9.5,161.0,Tropical & Subtropical Moist Broadleaf Forests,Solomon Islands rain forests,1.0,1808,50
737.0,"Paiwan,Puyuma,Rukay",22.5,120.80000305175781,Tropical & Subtropical Moist Broadleaf Forests,South Taiwan monsoon rain forests,0.5,149761,50
738.0,Southern Vanuatu,-19.399999618530273,169.5,Tropical & Subtropical Moist Broadleaf Forests,Vanuatu rain forests,0.5,2175,50
739.0,Spanish,39.29999923706055,-4.5,"Mediterranean Forests, Woodlands & Scrub",Iberian sclerophyllous and semi-deciduous forests,0.5,7999,50
740.0,St.Lawrence Eskimo,63.0,-170.0,Tundra,Beringia lowland tundra,2.0,684,50
741.0,Stavropol Turkmen,44.953369140625,42.538570404052734,"Temperate Grasslands, Savannas & Shrublands",Pontic steppe,0.5,1261,50
742.0,"Stieng,Chrau,Sre",11.5,107.0,Tropical & Subtropical Dry Broadleaf Forests,Southeast Indochina dry evergreen forests,0.5,11822,50
743.0,"Sulu, Mapun",6.0,120.0,Tropical & Subtropical Moist Broadleaf Forests,Sulu Archipelago rain forests,1.0,98,50
744.0,Sumba,-9.0,120.0,Tropical & Subtropical Dry Broadleaf Forests,Lesser Sundas deciduous forests,0.5,10165,50
745.0,Sumbawa,-9.0,118.0,Tropical & Subtropical Dry Broadleaf Forests,Lesser Sundas deciduous forests,0.5,699,50
746.0,Sumer,31.5,46.5,Deserts & Xeric Shrublands,North Arabian desert,1.0,61,50
747.0,"Surui,Zoro,Arua,Cinta Larga",-11.0,-61.0,Tropical & Subtropical Moist Broadleaf Forests,Madeira-Tapajós moist forests,0.5,313,50
748.0,Susu,9.800000190734863,-13.5,Tropical & Subtropical Moist Broadleaf Forests,Western Guinean lowland forests,0.5,778,50
749.0,"Suya,Txukarramae",-13.0,-52.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Cerrado,0.5,284,50
750.0,Svan,42.79999923706055,42.79999923706055,Temperate Broadleaf & Mixed Forests,Caucasus mixed forests,0.5,12730,50
751.0,"Tawang,Miji,Aka,Sherdukpen",27.200000762939453,94.5,Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,0.5,1928,50
752.0,Swahili,-5.0,40.0,Tropical & Subtropical Moist Broadleaf Forests,Northern Swahili coastal forests,0.5,1738,50
753.0,Swedes,59.0,16.0,Temperate Broadleaf & Mixed Forests,Sarmatic mixed forests,0.5,4375,50
754.0,Aramaic (Syrians),33.07754898071289,36.192378997802734,"Temperate Grasslands, Savannas & Shrublands",Syrian xeric grasslands and shrublands,0.5,30216,50
755.0,Tabasaran; Aghul,41.95000076293945,47.79999923706055,Temperate Broadleaf & Mixed Forests,Caucasus mixed forests,0.5,18147,50
756.0,Tacana,-14.0,-68.0,Tropical & Subtropical Moist Broadleaf Forests,Bolivian Yungas,0.5,1710,50
757.0,Tagish,60.0,-134.0,Boreal Forests/Taiga,Northern Cordillera forests,0.5,5996,50
758.0,Tahltan,57.5,-129.5,Boreal Forests/Taiga,Northern Cordillera forests,0.5,1034,50
759.0,Taino,21.0,-77.0,Tropical & Subtropical Dry Broadleaf Forests,Cuban dry forests,0.5,65,50
760.0,Tajik,38.0,69.5,"Temperate Grasslands, Savannas & Shrublands",Gissaro-Alai open woodlands,0.5,123,50
761.0,Takelma,42.400001525878906,-123.5,Temperate Conifer Forests,Klamath-Siskiyou forests,0.5,41176,50
762.0,Talysh,38.0,48.5,Temperate Conifer Forests,Elburz Range forest steppe,0.5,395,50
