motif_id,ru_hits,en_hits
k92a,пустыне | пустыню | степь,
k92b,пустыне,
k93b2,пустыне | пустыню | степь,
k93b3,пустыне,
k93b4,степь,
k94,пустыне | пустыню | степи | степь,
k95,пустыне | пустыню | степь,
k96,леднике | пустыне | саванну | степи,
k98,пустыни | пустыню,
k99a,джунгли,
k99b,степь,
l100,пустыни | степи | тайгу,
l100a,степь,
l100d,степи,
l101,яранге | яранги,
l103,саванне | саванны,
l104,пустыне | степь,
l106a,пустыню,
l107,тайги,
l108,вельде | саванне | саванну | саванны | тайге,
l108b,вельде | саванне | саванну | саванны,
l108c,тайге,
l10a,степи | степной,
l110,пустыни | саванне | саванну | степи | степь,
l113,яранги,
l114,вельд | саванне | саванну | саванны,
l114a,пустыне | саванну | саванны,
l114c,саванне | саванну,
l116,вельде,
l116a,пустыне | степь,
l120,пустыне | пустыню | степи,
l120a,пустыне | пустыню | степи,
l121,вельд | саванну,
l121a,саванну,
l122a,ледника | степи,
l125,пустыне | степи | степь,
l127,саванну,
l128,степь,
l14,тундре,
l15a,пустыне,
l15b,степные,
l15c,степях,
l15d,прерии | пустыне | пустыню | пустыня | степи | степь | тайги | тайгу,
l15e,пустыне,
l15f,пустыню,
l15h,пустыне | пустыню | пустыня | степи,
l15i,пустыне,
l17,тундровые,
l17a,ледника,
l18,тундровые,
l19b,пустыне | пустынь | пустыню | степная | тайге,
l1e,саванны,
l23,степи | степь,
l23a,степь,
l25,прерии | пустыне,
l27,тайге,
l32,саванне,
l33a,степные,
l34,тундре,
l37a,мерзлоты | пустыня,
l37b,пустыне | пустыню | степи,
l38,тундра | тундре | тундровые | тундру,
l38a,тундра | тундре | тундру,
l39,пустыню | степи,
l4,пустыню,
l40,пустыне | пустыня | степи | степь | яранге,
l40b,пустыню | степи,
l41,тундре,
l42,тундре | тундру,
l42b,пустыню | тайгу,
l42d,,frozen | ice
l42g,пустыне,
l42g1,пустыне | пустыни,
l42g2,пустыне,
l42j,тундру | яранга | яранге | яранги,
l44a,тундра | тундре | тундру | яранги | ярангу,
l52,вельде | тайги,
l53,вельде,
l55,тундре | тундры,
l57,ледник | леднике,
l57a,пустыне | пустыню | пустыня,
l5c,степные,
l5e,степные,
l5f,тайге | тундру,
l6,саванна | саванну | степные,
l61,саванну,
l65,вельде | тайги | тайгу,
l65a,пустыне | пустынной | степи | тайги,
l65b,вельд | пустынной | саванне | степи | тайгу | яранге | яранги,
l65c,тундровые | тундру | яранги,
l65d,яранги,
l72,вельд | пустыне | пустыня | саванну | степи | степные | тундровые | тундру,
l72a,пустыне | степи | тундровые | тундру,
l72b,степи,
l72c,пустыне,ice
l72g,пустыня,
l73,пустыне | тундре | тундровые | тундру,
l81,пустыне | степи | степная,
l81a,степная,
l81a2,степи,
l81b,степи,
l85,пустыню | таежный | тайге | тайги | тундре | тундровый | тундровых | яранге | ярангу,
l85a,пустыню,
l86,степные | тундре,
l90,пустыне | пустыню | степей,
l92,степная,
l93a,пустыню | тундру | яранга | яранге | яранги,
l93b,пустыня | степь,
l94,пустыне | пустыню | пустыня | степь | тайга | тайгу,
l94a,степь | тайгу,
l96,пустыне | степь,
l96a,пустыне | степь,
l96b,пустыня | степь,
l98,степь,
l99,степные,
l9d,степи,
l9e,пустынной | степи | степь,
m10,саванна,
m101,тундра | тундровые,
m104,саванну,
m106,степи,
m106b,степи,
m108,тундре | тундровые | тундру,
m108a,степная | степной,
m109,пустыню,ice
m109a,,frozen | ice
m111,,banana
m112,пустыня | степь,
m113,пустыня,
m114,пустыню | степи | степь,sand
m114a,степи,
m114b,степи | степь,
m114b1,степь,
m114c,степи,
m114e,степной,
m114g,пустыню,
m114i,степной | степь,
m116,пустыне | пустыню | тайга,
m116a,пустыне | пустыню,
m118,пустыню,
m118a,пустыню,
m118b,пустыню,
m123,арктика,
m123b,,canoe
m123c,арктика,
m13,степные,
m134,степь,
m135,степной,
m135a,степи | степной,
m136,степи,
m13a,степные,
m140,пустыню | тайгу,
m147a,степи,
m148,пустыню,
m152,пустыне | пустыню,
m152a,пустыне,
m153,степи | степной | тайга,
m153b,степи | степь,
m156,саванны | степи | степного | степь,
m157,пустыни | степи | степь,
m157a1,степи | степь,
m157a2,степь,
m157a3,степи | степь,
m157a4,степь,
m157b,степь,
m160,саванну,
m161,степи | тайга,
m162,пустыню,
m167,степь,
m171b,тундре | тундру,
m174,пустыню,
m178,пустыню,
m179,,ice
m179a,пустыню | степного,
m181a,пустыне,
m19,прерия,
m192,пустыню,
m195,степи,
m195a,степи,
m197,леднике,
m198,степи | степной | тайга,
m198a,степи | тайга,
m198a1,пустыне | степи | степной,
m199,пустыню,
m199a,пустыню,
m199c1,пустыню,
m199i,степь | тайге,
m21,пустыня | саванну | саванны | тундру,
m22,степные,
m23,степные,
m24,степные,
m29a,тундровые,
m29b,степи | тундровые,
m29b2,тундровые,
m29c,степные,
m29g,тундровые,
m29j,степные,
m29k,степные,
m30,степи | степные,
m30c,степи,
m30d,степи,
m31,тундру | яранга | яранге,
m32a,степные,
m36,,ice
m38,саванну | тундре | тундру,
m38a,саванну,
m38b2,степи,
m39a,степь | тайгу | тундровые,
m39a4a,пустыню | степь,
m39a4b,пустыню,
m39a5a,пустыню,
m39a6,пустыню,
m39a6a,степи | степь,
m39a6d,пустыня | степи | степь,
m39a6f,степи,
m39a6h,степи,
m39b,тундровые,canoe
m39b1,,canoe
m39i,пустыне,
m4,степные,
m40,степи,
m42,саванну | степные | яранга | яранге,
m42a,яранга | яранге,
m43,степи,
m45a,тайге | тундровые,
m46a,тундровые,
m49,ледник | леднике | прерии | пустыне | пустыню | степи | степные | тайге | тундра | тундре | тундру | яранги | ярангу,
m49a,ледник | леднике | степные | тундра | тундру | яранги | ярангу,
m5,саванну,
m53,степные,
m53b,степные,
m53c,степные,
m54,степь,
m57a,пустыне | пустыни | пустыню | степи | степные | степь | тундре,
m57c,пустыню | средиземноморье,
m57d,пустыню,
m57d4,,frost
m5a,,canoe
m60,тундра | тундре | тундру | яранги | ярангу,
m60a,степные,
m60a1,пустыню,
m60a2,пустыню | степи,
m60b,тундра | тундровые | яранга | яранге,
m62b,степная | степной,
m62d,степь,
m65,степные,
m65a,степные,
m65b,степные,
m66,степной | степные,
m68,степные,
m69,степные,
m74a,тайгу | тундровые,
m74aa,степь,
m74ab,тайгу | тундровые,
m75a,степные,
m75b,пустыне | степи,
m75b1,пустыне,
m75b1a,тайге,
m75b2,степным,
m75c,пустыне,
m77,пустыне | пустыню | степи,
m78,пустыни | степи,
m78a,пустыни,
m79,степной | степные,
m7a,тундру | яранга | яранге,
m7b,яранга | яранге,
m80,степные,
m81,саванна | саванну,
m82,ледник | ледника | степные,
m84a,тайге | тайгу,
m84c,тайгу,desert
m85,степь | тайги | тундровая,
m86,степные,
m8a,саванна,
m90,пустыни,
m90a,пустыни | пустыню,
m90a1,пустыни,
m91,степи | степь | тундра | тундровые,
m91a,пустыню | тайгу | тундра | тундровые,
m91b,пустыню | степь,
m91b1,пустыне,
m91c1,пустыне | пустыню | тундра,
m91c2,пустыне | пустыню | саванны | степь | тундра | тундровые,
m91d,тундра | тундровые,
m93,степные | яранга | яранге,
m93a,степные,
m94,тундра | тундру,
m94a,тундра,
m97,степные,
m98,оазисы | пустыни | пустынь,
n1,пустынной | степи | таежные | тайга | тайги,
n10,степи | тундровые | тундры | ярангу,
n10b,степи,
n10c,тундры | ярангу,
n11,степи,snow
n13,степь,
n14,степной,
n16,,ice
n2,степного,
n20,пустыне | степь,
n24,степь | тайгу,
n26,степи | степного,ice
n29,тундровые,
n30,пустыне,
n4,степи,
n5,степи | степь | тайги | тайгу | тундра,
n8,степь,
n9,степь,snow
